S,pA,i,SFS_i
10,0.01,1,0.00010256256655763152
10,0.01,2,0.000052629753150345306
10,0.01,3,0.00003603385285444629
10,0.01,4,0.000027775152256694036
10,0.01,5,0.00002285396796790295
10,0.01,6,0.0000196039837317811
10,0.01,7,0.000017311302356473335
10,0.01,8,0.000015619212551882474
10,0.01,9,0.000014329781879079068
10,0.01,10,0.000013324498148497477
10,0.01,11,0.000012528201819043813
10,0.01,12,0.00001189105702654103
10,0.01,13,0.000011378848908487544
10,0.01,14,0.000010967444927646352
10,0.01,15,0.000010639477933692946
10,0.01,16,0.00001038227999339311
10,0.01,17,0.000010186553126362176
10,0.01,18,0.00001004549166839499
10,0.01,19,9.954191327963094e-6
10,0.01,20,9.909246230739887e-6
10,0.01,21,9.908473137901099e-6
10,0.01,22,9.950724465875936e-6
10,0.01,23,0.000010035765453987946
10,0.01,24,0.000010164199468417726
10,0.01,25,0.000010337431036276556
10,0.01,26,0.000010557659959397443
10,0.01,27,0.000010827902456242734
10,0.01,28,0.000011152037162656234
10,0.01,29,0.000011534875248433583
10,0.01,30,0.000011982255056618719
10,0.01,31,0.000012501162660980045
10,0.01,32,0.000013099880646478176
10,0.01,33,0.000013788168307083078
10,0.01,34,0.000014577477373911557
10,0.01,35,0.000015481208369213705
10,0.01,36,0.000016515013775049647
10,0.01,37,0.00001769715542800084
10,0.01,38,0.000019048924957868522
10,0.01,39,0.000020595137704509727
